Baden-Württemberg,7.9,12.97
Bayern,8.1,15.33
Berlin,7.9,5.05
Brandenburg,8.5,3.08
Bremen,5.8,0.94
Hamburg,6,2.53
Hessen,9.1,7.32
Mecklenburg-Vorpommern,7,2.09
Niedersachsen,5.4,9.36
Nordrhein-Westfalen,5.4,21.24
Rheinland-Pfalz,6.7,4.83
Saarland,6.8,1.22
Sachsen,10.1,5.1
Sachsen-Anhalt,6.3,2.86
Schleswig-Holstein,6.8,3.39
Thüringen,7.4,2.75
